county,lat,lng,state
Yuba County,39.2839755,-121.3556818,California
North Slope Borough,69.5335129,-153.8220681,Alaska
Sevier County,35.8047065,-83.5291901,Tennessee
Howard County,41.227424,-98.5174349,Nebraska
Towns County,34.8971655,-83.7182775,Georgia
Ascension Parish,30.2116442,-90.9186104,Louisiana
Wyandot County,40.865471,-83.2810539,Ohio
La Moure County,48.8319389,-97.9298186,Dakota
Live Oak County,28.2678746,-98.101923,Texas
Morgan County,34.4296848,-86.8529584,Alabama
Hyde County,44.5103405,-99.4936719,Dakota
Carroll County,43.8778199,-71.2740836,New Hampshire
Rockcastle County,37.3885959,-84.3254309,Kentucky
Greene County,36.1698443,-82.8766356,Tennessee
Darlington County,34.3609331,-79.9438572,South Carolina
McHenry County,48.1907427,-100.65378,North Dakota
Mesa County,39.0589084,-108.565996,Colorado
Osceola County,43.3684613,-95.6299944,Iowa
Nelson County,47.8852229,-98.1774434,North Dakota
Ralls County,39.552012,-91.547611,Missouri
Owsley County,37.4082295,-83.681994,Kentucky
Las Animas County,37.3096626,-104.0591427,Colorado
Sioux County,43.0574079,-96.1602368,Iowa
Coos County,44.698627,-71.3768039,New Hampshire
Madison County,40.1624531,-85.7260804,Indiana
Anoka County,45.2710195,-93.2827625,Minnesota
Neosho County,37.5566345,-95.33166,Kansas
Miller County,38.2118765,-92.4343544,Missouri
Saline County,38.7704462,-97.6669832,Kansas
Marion County,32.7931661,-94.344488,Texas
Dunn County (old),47.30612,-102.6112348,North Dakota
Corozal Municipio,18.3405895,-66.3172368,Puerto Rico
Valencia County,34.7325886,-106.8503919,New Mexico
Dodge County,32.1506514,-83.1520134,Georgia
Alger County,46.4047895,-86.5280993,Michigan
Routt County,40.4514373,-106.9724072,Colorado
Jefferson County,38.267166,-90.5721889,Missouri
St. Clair County,42.9426715,-82.6283554,Michigan
Snyder County,40.7615395,-77.0909536,Pennsylvania
Luquillo Municipio,18.3759149,-65.7158147,Puerto Rico
Refugio County,28.3171012,-97.2394101,Texas
Upshur County,38.8957981,-80.2461453,West Virginia
Lyon County,43.3747071,-96.2081917,Iowa
Harrison County,40.337172,-93.9845199,Missouri
Humboldt County,40.7756902,-124.180126,Utah
Stearns County,45.535326,-94.6139422,Minnesota
Deer Lodge County,46.0753795,-113.089332,Montana
Taos County,36.4925795,-105.6812782,New Mexico
Polk County,41.1893645,-97.570244,Nebraska
Logan County,35.8879493,-97.4621935,Oklahoma
Stafford County,38.3159996,-77.4534297208995,Virginia
Merrimack County,43.3260376,-71.6854725,New Hampshire
Floyd County,34.2421984,-85.2229248,Georgia
Ionia County,42.9469688,-85.0713945,Michigan
Blount County,33.9510169,-86.5702002,Alabama
Linn County,39.8652349,-93.1104004,Missouri
Johnson County,32.3766071,-97.3568623,Texas
Fayette County,33.7303493,-87.7419088,Alabama
Leake County,32.7401114,-89.5241292,Mississippi
Salem County,39.5980987,-75.3488201,New Jersey
Yolo County,38.7184542,-121.9059001,California
Watauga County,36.2228105,-81.6863808,North Carolina
Hancock County,40.5071529,-80.5657591,Virginia
Story County,42.0161612,-93.489194,Iowa
Fillmore County,43.6466588,-92.0636359,Minnesota
Graham County,39.34062,-99.8980624,Kansas
Randall County,34.9444713,-101.8850309,Texas
Yellowstone National Park,45.01764285,-110.693709753639,Montana
Norman County,47.3194344,-96.4625779,Minnesota
Childress County,34.4923918,-100.1985963,Texas
Kalamazoo County,42.2494968,-85.5372797,Michigan
Beadle County,44.4157764,-98.2751583,Dakota
Pecos County,30.7857437,-102.8065415,Texas
Clinton County,40.2992769,-86.4692735,Indiana
Polk County,37.6200803,-93.4087994,Missouri
Fairfax County,38.8156356,-77.2836849,Virginia
Dallas County,32.7620405,-96.7790069,Texas
Lake County,39.0505411,-122.7776556,California
Greenbrier County,37.961175,-80.450934,Virginia
Tuscola County,43.4776781,-83.3951071,Michigan
Ventura County,34.4458248,-119.0779359,California
Wichita County,38.4482137,-101.3352939,Kansas
Clay County,31.5738181,-84.9800814,Georgia
McDuffie County,33.4631845,-82.4830204,Georgia
Turner County,31.7031592,-83.6214408,Georgia
Ashe County,36.4393554,-81.5076569,North Carolina
Queen Anne's County,39.0273331,-76.0616856,Maryland
Nez Perce County,46.3959861,-116.8072307,Idaho
Norfolk County,42.1538607,-71.1828015,Massachusetts
Cumberland County,39.3183341,-75.1623239,New Jersey
Porter County,41.4457032,-87.0724971,Indiana
Yakutat City and Borough,59.6391781,-139.3429439,Alaska
Essex County,40.7913922,-74.2479444,New Jersey
Barnstable County,41.6718684,-70.3499234,Massachusetts
Collingsworth County,34.9487017,-100.2669137,Texas
Tate County,34.6391489,-89.9335244,Mississippi
Dixie County,29.6214008,-83.17351,Florida
Putnam County,41.426996,-73.760156,New York
Bryan County,33.95386,-96.3154827,Oklahoma
Spokane County,47.5354964,-117.4074674,Washington
Cheshire County,42.9525022,-72.2834412,New Hampshire
Bledsoe County,35.5943104,-85.2104415,Tennessee
DeKalb County,39.885757,-94.4078109,Missouri
Goliad County,28.6467776,-97.4379552,Texas
Keokuk County,41.3154792,-92.1867128,Iowa
Clark County,38.4941217,-85.7169081,Indiana
Jefferson Davis Parish,30.2575503,-92.7886576,Louisiana
Colquitt County,31.1803601,-83.7696152,Georgia
Wayne County,40.7436612,-93.343458,Iowa
Lee County,37.6001442,-83.7073043,Kentucky
Wayne County,39.8638778,-85.0198586,Indiana
Sonoma County,38.5110803,-122.8473388,California
Miami-Dade County,25.6364246,-80.4989467,Florida
Stevens County,37.1929045,-101.3119354,Kansas
Bradford County,29.9715087,-82.1608653,Florida
Albany County,42.5986896,-73.9843997,New York
Parmer County,34.4901153,-102.768021,Texas
Pike County,31.7615793,-85.9259465,Alabama
Cowley County,37.2413155,-96.8675685,Kansas
Wasatch County,40.3348338,-111.1186992,Utah
Meriwether County,33.0373582,-84.6717803,Georgia
Cayuga County,42.8093409,-76.5700777,New York
Crawford County,43.2271639,-90.8938474,Wisconsin
Preston County,39.46351965,-79.6902758040791,West Virginia
Baraga County,46.6354348,-88.3876368,Michigan
Orange County,38.5421361,-86.4953216,Indiana
Choctaw County,33.3569348,-89.2390212,Mississippi
Kingfisher County,35.9471931,-97.9641244,Oklahoma
Gregory County,43.1713788,-99.1674843,South Dakota
Charleston County,32.8152646,-79.7996814,South Carolina
Lancaster County,34.6628067,-80.700546,South Carolina
Oktibbeha County,33.4131096,-88.8937318,Mississippi
Martin County,43.6564337,-94.5498419,Minnesota
Habersham County,34.6270741,-83.5016755,Georgia
St. Clair County,33.7086407,-86.3364,Alabama
Beaufort County,32.3850708,-80.6923169,South Carolina
Virginia Beach city,36.5943204,-75.8876014,Virginia
Adair County,41.3127814,-94.4953303,Iowa
Wood County,32.7577475,-95.3812941,Texas
Carson County,39.5482985,-110.4051656,Utah
Charlotte County,26.9013269,-81.9156799,Florida
Clay County,39.3864958,-87.1025862,Indiana
Fayette County,39.5839889,-83.4401122,Ohio
Greene County,42.0182893,-94.4005864,Iowa
Leavenworth County,39.2147095,-95.0620347,Kansas
Sullivan County,43.3564357,-72.2392517,New Hampshire
Dauphin County,40.398036,-76.8115168,Pennsylvania
Atlantic County,39.5143268,-74.6632883,New Jersey
Hampshire County,39.3015109,-78.6212207,West Virginia
Fremont County,44.2309391,-111.4218314,Idaho
Marlboro County,34.5810346,-79.6742033,South Carolina
Colusa County,39.1465578,-122.2209563,California
Woodward County,36.374499,-99.2455382,Oklahoma
Warren County,41.8119602,-79.2654452,Pennsylvania
Transylvania County,35.1982216,-82.7724889,North Carolina
Russell County,37.0042935,-85.0254935171456,Kentucky
Stonewall County,33.1571742,-100.2453011,Texas
Washington County,38.5612578,-86.1179768,Indiana
Greene County,39.0227107,-86.9958489,Indiana
Sabine County,31.3325489,-93.8722218,Texas
Lincoln County,42.4259283,-71.3039469,Massachusetts
Freestone County,31.6924428,-96.1629601,Texas
McDowell County,37.3660757,-81.6478197,Virginia
Hardin County,35.1946569,-88.1857563,Tennessee
Cherokee County,35.9158661,-94.9950063,Oklahoma
Pratt County,37.6280602,-98.7485305,Kansas
Worcester County,38.2231182,-75.3319465,Maryland
Monroe County,39.1294237,-86.5187646,Indiana
Gibson County,35.9745692,-88.932729,Tennessee
Grundy County,35.3697894,-85.7106606,Tennessee
Lincoln County,33.9359663,-91.7713274,Arkansas
Roscommon County,44.3326932,-84.6165164,Michigan
Concho County,31.3102947,-99.8507578,Texas
Jefferson County,44.059311,-75.9995742,New York
Hancock County,42.543138,-73.3237182,Massachusetts
Sedgwick County,37.56903,-97.3517204,Kansas
Halifax County,36.2494056,-77.66834,North Carolina
Carroll County,40.5250362,-81.0927234,Ohio
Holmes County,33.1018124,-90.0656168,Mississippi
Kingsbury County,44.3631469,-97.4882433,South Dakota
Macon County,39.8455208,-88.9602376,Illinois
Navajo County,35.1819775,-110.3549451,Arizona
New River County,28.199089,-82.265899,Florida
Pike County,33.081484,-84.3969481,Georgia
Manatí Municipio,18.4271372,-66.4929477,Puerto Rico
Manatee County,27.5213933,-82.3801566,Florida
Pendleton County,38.6861824,-79.3410138,Virginia
Goodhue County,44.396973,-92.7175627,Minnesota
Nicholas County,38.2784261,-80.770707,Virginia
Waseca County,44.0172242,-93.5885717,Minnesota
Limestone County,34.8342463,-86.9901321,Alabama
Thurston County,46.9319983,-122.8855155,Washington
James City County,37.3211485,-76.7972515,Virginia
Taliaferro County,33.5820382,-82.9043661,Georgia
Iberia Parish,29.9812242,-91.7451362,Louisiana
Bullitt County,37.9749498,-85.6742394,Kentucky
Clark County,45.6278474,-122.6254267,Oregon
Gregg County,32.4492408,-94.8532848,Texas
Gasconade County,38.4575789,-91.5177499,Missouri
Bexar District,32.7235191,-96.8141471,Texas
Chenango County,42.4784565,-75.6130279,New York
Lafayette County,39.0603689,-93.8151868,Missouri
Davis County,41.0263758,-112.1197426,Utah
Stanton County,41.9220687,-97.2141158,Nebraska
Coffee County,35.4906115,-86.069633,Tennessee
Grundy County,41.2747363,-88.4119361,Illinois
Jackson County,40.6531945,-106.3447246,Colorado
Steele County,44.0137336,-93.2203671,Minnesota
Greensville County,36.6405713,-77.5768298,Virginia
Patrick County,36.6818706,-80.284636,Virginia
Union County,40.3255937,-83.3676859,Ohio
Lampasas County,31.1761363,-98.240563,Texas
Green River County,40.0520923,-109.7334186,Utah
Roseau County,48.7710371,-95.7697882,Minnesota
Jackson County (old),43.668546,-101.6595883,South Dakota
Bath County,38.1245248,-83.7249243,Kentucky
Pamlico County,35.1238031,-76.7970224,North Carolina
Ravalli County,46.0757223,-114.1139453,Montana
Wasco County,45.0430227,-121.2154207,Oregon
Brazos County,30.65215735,-96.3811144136019,Texas
Highland County,39.1802516,-83.6304344,Ohio
Jefferson County,39.5699803,-105.2561919,Colorado
Randolph County,31.7620266,-84.7468429,Georgia
Calumet County,44.0751086,-88.2144321,Wisconsin
Pontotoc County,34.2114655,-89.0382651,Mississippi
Hancock County,40.5071529,-80.5657591,West Virginia
Mitchell County,36.0001181,-82.1349028,North Carolina
Portsmouth city,36.8354258,-76.2982742,Virginia
Swisher County,34.47235,-101.7119955,Texas
St Clair County,38.4616972,-89.9324347,Illinois
Haskell County,35.2084387,-95.1115771,Oklahoma
Renville County,48.6579169,-101.7009103,Dakota
Montgomery County,33.5074528,-89.6182472,Mississippi
Beadle County,44.4157764,-98.2751583,South Dakota
Appomattox County,37.37433005,-78.7954765044086,Virginia
Essex County,44.7065484,-71.7344471,Vermont
Colfax County,36.5571762,-104.6118941,New Mexico
Brown County,31.7525184,-98.9904722,Texas
Jackson Parish,32.2932692,-92.5628442,Louisiana
Sagadahoc County,43.9900158,-69.8654643,Maine
Okmulgee County,35.6677078,-95.9690122,Oklahoma
Faulk County,45.0743643,-99.1739778,Dakota
Wapello County,41.0137597,-92.4140217,Iowa
Bowie County,33.4198886,-94.4479626,Texas
Lincoln County,45.3265631,-89.7326216,Wisconsin
Tripp County,43.3235158,-99.8941094,South Dakota
Muskegon County,43.2484584,-86.129351,Michigan
Canyon County,43.6435692,-116.7017144,Idaho
Dooly County,32.1542383,-83.8253817,Georgia
Liberty County,30.0856736,-94.7856262,Texas
New Kent County,37.4971441,-76.9964301,Virginia
Texas County,37.3354601,-91.9808332,Missouri
Lexington city,37.775132,-79.4410488,Virginia
Plaquemines Parish,29.4291161,-89.5123524,Louisiana
Guayanilla Municipio,18.0190892,-66.7918266,Puerto Rico
Braxton County,38.699643,-80.7012614,West Virginia
Martin County,35.8134443,-77.0948861,North Carolina
St. Clair County,38.0592942,-93.7945456,Missouri
Hawkins County,36.429878,-82.9568899,Tennessee
Adams County,46.9723633,-118.5934644,Washington
Chatham County,35.7151316,-79.2533035,North Carolina
Perry County,38.0772859,-89.3760499,Illinois
Mason County (1790),38.7499013,-82.052456,Virginia
Nowata County,36.7798848,-95.6226184,Oklahoma
Warren County,32.3649878,-90.7975574,Mississippi
Lebanon County,40.375713,-76.4626118,Pennsylvania
Suwannee County,30.2101192,-82.9873377,Florida
Wayne County,43.1500557,-77.0377603,Northwest
Washington County,38.8970896,-77.0469653002767,South Dakota
New Madrid County,36.5749606,-89.6780945,Missouri
Marin County,38.0409144,-122.6199638,California
Sumter County,28.6689748,-82.076402,Florida
Cherokee County,34.1142554,-85.6004514,Alabama
Mayes County,36.3047676,-95.2355722,Oklahoma
Marion County,37.5413747,-85.2650391,Kentucky
Rutherford County,35.3994626,-81.9023191,North Carolina
Delaware County,40.2193275,-85.4040612,Indiana
Bottineau County,48.8243455,-100.8431321,North Dakota
White County,40.7422434,-86.8713913,Indiana
Fannin County,34.8867955,-84.2715585,Georgia
Ritchie County,39.1666305,-81.0474662,Virginia
Gaines County,32.7044935,-102.6220553,Texas
Stone County,30.7843863,-89.1342764,Mississippi
Jasper County,33.3254635,-83.6868559,Georgia
Seward County,37.1850331,-100.8928434,Kansas
Lafourche Parish,29.5820155,-90.3964889,Louisiana
Presidio County,29.9883766,-104.2336552,Texas
Logan County,46.4650338,-99.4501721,North Dakota
Jasper County,30.7485258,-94.000884,Texas
Skagit County,48.4596092,-121.7332784,Washington
Coal County,34.5661009,-96.2944665,Oklahoma
St Clair County,38.531532,-89.84681,Indiana
Davison County,43.6660467,-98.1383168,Dakota
Terrell County,31.7615999,-84.4410234,Georgia
Thomas County,41.9116541,-100.5558924,Nebraska
Jefferson County,34.1234448,-97.8379641,Oklahoma
Lafayette County,33.1821484,-93.5972459,Arkansas
Escambia County,31.1168422,-87.1070947,Alabama
Lewis County,35.5291497,-87.4950257,Tennessee
Los Alamos County,35.8585475,-106.317166,New Mexico
West Carroll Parish,32.7864174,-91.4586366,Louisiana
Union County,40.9745493,-77.0785945,Pennsylvania
Greer County,34.9326334,-99.5435856,Oklahoma
Barton County,38.4683432,-98.776234,Kansas
Trousdale County,36.3882376,-86.1332156,Tennessee
McPherson County,38.3659015,-97.6575171,Kansas
Belknap County,43.5218848,-71.4530581,New Hampshire
Montezuma County,37.3476546,-108.6260849,Colorado
Jerome County,42.702266,-114.2867043,Idaho
Prince of Wales-Hyder Census Area,55.40407,-132.948303,Alaska
Bucks County,40.3451668,-75.1263909,Pennsylvania
Clinton County,42.9435238,-84.6125345,Michigan
Sequatchie County,35.3594724,-85.401448,Tennessee
Yancey County,35.8875402,-82.3035673,North Carolina
Boone County,42.1123016,-94.0163030812353,Iowa
Webster County,38.4844995,-80.4289537,Virginia
Reagan County,31.3458428,-101.5295291,Texas
Elizabeth City,39.0633754,-81.3952725,Virginia
Grady County,35.0507761,-97.8849251,Oklahoma
Andrews County,32.2690953,-102.6042447,Texas
Cass County,38.6585427,-94.3721539,Missouri
Miami County,40.81872435,-86.0558596169356,Indiana
La Plata County,37.2889732,-107.8539029,Colorado
Barry County,36.7033624,-93.8229669,Missouri
Angelina County,31.2544545,-94.6181177,Texas
Inyo County,36.5595325,-117.4074712,California
Cook County,47.9149076,-90.47301,Minnesota
Jasper County,32.4048602,-81.0414726,South Carolina
Macon County,35.1436639,-83.3977297,North Carolina
Jackson County,39.0131871,-82.6089043,Ohio
Sullivan County,39.0492722,-87.4172644,Indiana
Ritchie County,39.1666305,-81.0474662,West Virginia
Clare County,43.9688673,-84.8505091,Michigan
Douglas County,43.3969325,-98.3406673,South Dakota
Putnam County,38.4939687,-81.9150148,West Virginia
Itawamba County,34.2774018,-88.3713687,Mississippi
Sierra County,39.5849065,-120.5305731,California
Jack County,33.2127019,-98.1639199,Texas
Ford County,40.4980955,-88.2552987,Illinois
Eddy County,32.4003136,-104.3452596,New Mexico
Jerauld County,44.0797601,-98.6182042,South Dakota
Esmeralda County,37.8066689,-117.6419239,Nevada
Stanly County,35.3235477,-80.2391366,North Carolina
Phelps County,40.5078647,-99.425665,Nebraska
Milwaukee County,43.0180325,-87.9740873303832,Wisconsin
Macon County,39.8416253,-92.5675118,Missouri
Taylor County,30.0926733,-83.6377926,Florida
Franklin city,36.6793195,-76.9364366,Virginia
Carter County,36.2840805,-82.1194772,Tennessee
Lapeer County,43.0904764,-83.2333705,Michigan
Bottineau County,48.8243455,-100.8431321,Dakota
LaMoure County,46.4473745,-98.534574,North Dakota
Marshall County,39.854861,-80.6616946,West Virginia
Sacramento County,38.4732259,-121.2980707,California
Howard County,40.4787061,-86.1350343,Indiana
Hubbard County,47.1138266,-94.9427679,Minnesota
Scott County,38.2776401,-84.5816131,Kentucky
Bristol County,41.7034082,-71.2844401,Rhode Island
Wakulla County,30.1480038,-84.3543512,Florida
Rock County,42.4152603,-99.456071,Nebraska
Wayne County,31.5675304,-81.9131554,Georgia
Roane County,38.6943369,-81.3366149,West Virginia
Brule County,43.6848301,-99.0538876,South Dakota
Saluda County,34.009279,-81.7419823157584,South Carolina
Buffalo County,37.7097669,-95.6974822,Kansas
Fulton County,40.4714305,-90.1845556,Illinois
Crawford County,38.304425,-86.444022,Indiana
Osborne County,39.3351558,-98.7933509,Kansas
Mason County,38.7499013,-82.052456,West Virginia
Douglas County,33.6995565,-84.7622973,Georgia
Campbell County,44.1908398,-105.5775352,Wyoming
Goshen County,42.0657096,-104.3541422,Wyoming
Guilford County,36.0875688,-79.7888515,North Carolina
Aiken County,33.5723191,-81.6182086,South Carolina
Benton County,38.2930723,-93.3036786,Missouri
LaPorte County,41.5718945,-86.7490124,Indiana
Carbon County,40.8908468,-75.7212917,Pennsylvania
Talbot County,38.7542065,-76.1919824,Maryland
Greenville County,34.8550021,-82.3356457,South Carolina
Orangeburg County,33.4054944,-80.778429,South Carolina
Monmouth County,40.2932319,-74.1671114,New Jersey
Ottawa County,41.5421375,-83.213342,Ohio
Lafayette Parish,30.2141462,-92.0710624,Louisiana
Franklin County,40.0283162,-83.0076657,Ohio
Calhoun County,30.3853734,-85.2223516,Florida
Potter County,45.0764805,-99.9607952,Dakota
Avoyelles Parish,30.0448033,-89.9273016497264,Orleans
Wayne County,42.2682408,-83.2844172,Michigan
Jenkins County,32.7793141,-81.9613566,Georgia
Seminole County,28.7225829,-81.2353683,Florida
Mississippi County,36.837087,-89.3336141,Missouri
Anson County,34.9705848,-80.0958187,North Carolina
Leon County,30.4683062,-84.2549068,Florida
New London County,41.4915013,-72.1237666,Connecticut
Mitchell County,31.260569,-84.1796740364572,Georgia
Taylor County,41.7700484,-99.3806592,Nebraska
Sheridan County,44.7947537,-106.8222688,Wyoming
Mono County,37.9533927,-118.9398758,California
Edwards County,37.8684743,-99.3245584,Kansas
Howell County,36.766989,-91.9151975,Missouri
Humboldt County,40.5997415,-123.8997734,California
Talbot County,32.6984691,-84.505404,Georgia
Warren County,41.3138645,-93.5685324,Iowa
Latah County,46.8171611,-116.693441,Idaho
McLean County,47.6002156,-101.1719782,North Dakota
Dimmit County,28.3821949,-99.7178226,Texas
Campbell County,38.9339799,-84.3715286,Kentucky
Trinity County,40.6053256,-123.171268,California
Floyd County,43.0587894,-92.7830539,Iowa
Nuckolls County,40.1621285,-98.047997,Nebraska
Arizona County,32.1977883,-110.8227022,New Mexico
Ziebach County,44.9241074,-101.7110445,Dakota
Cherokee County,35.0372626,-81.6480755,South Carolina
Lafourche Parish,29.643452,-90.689216,Orleans
Clarke County,31.659134,-87.8192486,Alabama
Hardeman County,34.2510707,-99.7322571,Texas
Rock County,43.6733632,-96.2574328,Minnesota
Sussex County,41.133372,-74.6930393,New Jersey
Sussex County,36.9096897,-77.2741121,Virginia
Richland County,40.776322,-82.5302254,Ohio
Monroe County,41.0142519,-92.8792544,Iowa
Guernsey County,40.0802222,-81.4859433,Ohio
Tensas Parish,31.9834216,-91.3708695,Louisiana
Ellis County,36.2468449,-99.7883601,Oklahoma
Martin County,38.6705579,-86.8022436,Indiana
Falls Church city,38.882334,-77.1710914,Virginia
Lincoln County,38.1570776,-82.0671435,West Virginia
Andrew County,39.9845508,-94.8090258,Missouri
San Miguel County,35.470043,-104.7946178,New Mexico
Alexander County,35.924738,-81.1716315,North Carolina
Adair County,40.1769782,-92.6161167,Missouri
Hamilton County,40.8569853,-98.0470062,Nebraska
Bracken County,38.686946,-84.0751461,Kentucky
Costilla County,37.2367948,-105.4182008,Colorado
Hayes County,40.5335592,-101.0605971,Nebraska
Gulf County,29.9665252,-85.2175889,Florida
Forsyth County,36.1476399,-80.2415712,North Carolina
Park County,45.5027347,-110.52981,Montana
Forrest County,31.1540772,-89.2398601,Mississippi
Crook County,44.5746536,-104.5816096,Wyoming
Grand Isle County,44.706737,-73.3042618,Vermont
Cleveland County,35.2301869,-97.3109151,Oklahoma
Lake and Peninsula Borough,58.3277109,-156.154765,Alaska
Hutchinson County,35.8148236,-101.34844,Texas
Erie County,41.3506462,-82.640448,Ohio
South Boston City,36.6987494,-78.9013987,Virginia
Bay County,43.6957567,-83.9402747,Michigan
Genesee County,43.0102726,-78.1780196,New York
Calhoun County,38.8311994,-81.1234524,West Virginia
Buchanan County,42.4634928,-91.8449198,Iowa
Elmore County,32.5801231,-86.125195,Alabama
Concordia Parish,29.957704,-90.1331292,Orleans
El Paso County,31.8072184,-106.2230394,Texas
Kewaunee County,44.521282,-87.6301086,Wisconsin
Dawson County,32.7410762,-101.9576048,Texas
Morgan County,39.5943953,-81.877978,Ohio
Manomin County,47.3151116,-95.9689651,Minnesota
Yoakum County,33.1536951,-102.833579,Texas
Manassas city,38.743235,-77.4746953,Virginia
Windham County,43.0028875,-72.7634259,Vermont
Hampshire County,39.3015109,-78.6212207,Virginia
Nobles County,43.6634212,-95.7527672,Minnesota
Runnels County,31.8282551,-99.9779922,Texas
Vance County,36.3747423,-78.4140945,North Carolina
Lares Municipio,18.2952528,-66.8777574,Puerto Rico
Huerfano County,37.7013983,-105.0218531,Colorado
Burnett County,45.8652437,-92.2673161,Wisconsin
Arenac County,44.0608193,-83.8718694,Michigan
Walsh County,48.3693784,-97.7469943,North Dakota
Brown County,39.824223,-95.5819952,Kansas
Union County,42.8717888,-96.6772947,South Dakota
McDowell County,35.6608869,-82.0482171,North Carolina
Oldham County,35.3907651,-102.6193428,Texas
Miami County,38.5620514,-94.8557402,Kansas
Powhatan County,37.5531622,-77.9112655,Virginia
Coos County,43.2184144,-124.109621,Oregon
Jefferson County,44.059311,-75.9995742,Northwest
Otsego County,45.0244123,-84.6136788,Michigan
Dobbs County,35.8437108,-79.0407069,North Carolina
Williamson County,30.6580927,-97.6041649,Texas
Toombs County,32.1296839,-82.3299928,Georgia
Franklin County,39.9259345,-77.7485516,Pennsylvania
Hidalgo County,26.3530256,-98.216445,Texas
